state,tot_votes,dem_votes,dem_percent,rep_votes,rep_percent,unemp_rate,cpi_nov2020_annual,cpi_nov2020_quart,gdp_quarterly,per_capita_income,dem_gov,tot_deaths,tot_cases,min_wage,mask_index,sdr,ba_plus
ALABAMA,2323282,849624,0.37,1441170,0.62,6.5,1.2,0.3,0.4,46179,0,4598,192762,7.25,3,0,27.8
,259530,153778,0.59,189951,0.73,8.2,1.4,0.35,7.3,62756,0,116,15757,10.19,3,0,31.9
ARIZONA,3387326,1672143,0.49,1661686,0.49,7.7,1.3,0.33,8.1,52327,0,1958,113057,12,3,0,33
ARKANSAS,1219069,423932,0.35,760647,0.62,6.1,0.4,0.1,1.1,47154,0,5981,247645,10,3,0,24.9
CALIFORNIA,17500881,11110250,0.63,6006429,0.34,10.2,1.4,0.35,7.3,70647,1,17662,926534,12,3,1,36.9
COLORADO,2356980,1804352,0.77,1364607,0.58,6.9,1.3,0.33,1.2,65358,1,2285,113847,12.02,3,1,44.2
CONNECTICUT,1823857,1080831,0.59,714717,0.39,7.8,0.4,0.1,5.1,78463,1,4616,71207,12,3,1,42.4
DELAWARE,504346,296268,0.59,200603,0.4,7.6,1.3,0.33,-1.8,56324,1,757,24960,9.25,3,0,34.7
FLORIDA,1067456,5297045,0.49,5668731,5.31,8.2,1.3,0.33,2.9,57292,0,17897,795999,8.56,3,0,33.7
GEORGIA,4999960,2473633,0.49,2461854,0.49,6.5,1.3,0.33,2.8,51987,0,7981,390428,7.25,2,0,34.8
HAWAII,574469,366130,0.64,196864,0.34,12,1.4,0.35,10.8,57241,1,218,15075,10.1,3,1,35.5
IDAHO,868014,287021,0.33,554119,0.64,5.1,1.3,0.33,4.3,49491,0,630,65088,7.25,3,1,30.9
ILLINOIS,6033744,3471915,0.58,2446891,0.41,9.2,0.8,0.2,2.7,62139,1,10075,423539,10,3,1,37.6
INDIANA,3033121,1242416,0.41,1729519,0.57,7.2,0.8,0.2,2.9,52219,0,4348,182108,7.25,4,0,28.9
IOWA,1690871,759061,0.45,897672,0.53,5.1,1.5,0.38,11.6,53312,0,1717,130361,7.25,3,1,29.5
KANSAS,1372303,570323,0.42,771406,0.56,5.6,1.5,0.38,-0.5,55974,1,1029,85181,7.25,3,0,35.1
KENTUCKY,2136768,772474,0.36,1326646,0.62,6.4,1.2,0.3,1.1,47525,1,2074,112206,7.25,3,0,27.4
LOUISIANA,2148062,856034,0.4,1255776,0.58,8.7,0.4,0.1,-6.9,50809,1,5926,187720,7.25,3,0,27.2
MAINE,819461,435072,0.53,360737,0.44,5,0.4,0.1,9.6,54912,1,148,6723,12,4,1,33.5
